t,I,I0,A
0,5736.22,5736.22,-0.0
1,5724.94,5724.94,-0.0
2,5718.51,5718.51,-0.0
3,5717.23,5717.23,-0.0
4,5719.35,5724.316876829613,0.0008680569252775155
5,5724.22,5735.957238187684,0.002048352664642501
6,5731.1,5747.597599545757,0.0028744743490469616
7,5739.49,5759.237960903829,0.003434811291542619
8,5748.82,5770.878322261901,0.0038296748064947234
9,5758.81,5782.518683619973,0.004108490039489998
10,5769.51,5794.159044978045,0.004263194011317347
11,5780.2,5805.7994063361175,0.0044190314700911625
12,5791.64,5817.439767694189,0.0044447640442323265
13,5803.14,5829.080129052261,0.004460055219853809
14,5814.78,5840.720490410334,0.00445120881117648
15,5826.65,5852.360851768405,0.004402923095119069
16,5838.14,5864.0012131264775,0.004419918501550603
17,5850.01,5875.64157448455,0.004371887591451054
18,5862.12,5887.281935842621,0.004283107250280732
19,5874.14,5898.922297200694,0.004210006399158494
20,5886.48,5910.562658558766,0.004082835454561864
21,5898.62,5922.2030199168385,0.003990086166665303
22,5910.79,5933.84338127491,0.0038926338439876098
23,5923.04,5945.483742632982,0.0037820658866508264
24,5934.88,5957.124103991055,0.003741022915765326
25,5947.2,5968.764465349126,0.0036194281971057563
26,5959.39,5980.4048267071985,0.003520135599041995
27,5971.45,5992.045188065271,0.003443008600188118
28,5983.67,6003.685549423342,0.0033394467932103917
29,5995.36,6015.325910781415,0.003324694246602799
30,6007.51,6026.966272139487,0.0032334251447012122
31,6019.63,6038.6066334975585,0.0031474998775931585
32,6031.75,6050.246994855631,0.003061912581960941
33,6044.07,6061.887356213703,0.002943570434698258
34,6056.15,6073.527717571776,0.002865324185155397
35,6068.3,6085.168078929847,0.002775847955739953
36,6080.16,6096.808440287919,0.0027344163275068124
37,6092.62,6108.448801645992,0.0025946596619723446
38,6104.87,6120.089163004063,0.002489852221764088
39,6116.76,6131.729524362136,0.002444306587433531
40,6128.82,6143.369885720208,0.0023711974265422514
41,6140.94,6155.0102470782795,0.002288599569263799
42,6153.4,6166.650608436352,0.002151064791337745
43,6165.33,6178.290969794424,0.002100027956046809
44,6177.26,6189.931331152497,0.002049185663467217
45,6189.27,6201.571692510568,0.0019856111243478727
46,6201.49,6213.21205386864,0.001888415412837326
47,6213.62,6224.852415226713,0.00180607680831073
48,6225.76,6236.492776584784,0.0017224460826967291
