scan_id,F_area_total,F_mean,F_p95,F_p99,F_top10_area,F_main_roi_area,F_main_roi_mean,F_main_roi_peak,btn_idx,btn_dt,T,HA_ref,Abs_ref
4,0.9479375040436677,0.0009874349000454873,0.004210790073154995,0.006198993767713952,0.123341818398364,0.25183212845917674,0.0046635579344291985,0.006884314027629285,0,2024-06-27 11:16:01,19.4,5.606578867860555,0.002107
5,0.9899588411248057,0.0010312071261716726,0.004845110365451005,0.00701459097522206,0.18454606795043904,0.2946893415421629,0.004911489025702715,0.007991856857831322,1,2024-06-27 11:16:21,19.6,5.38583774843686,0.001615
6,0.8979722282323586,0.0009353877377420402,0.004306123861878392,0.0056708723507728565,0.14850785175093947,0.22969761002573297,0.003960303621133327,0.005896164724670379,2,2024-06-27 11:16:41,19.7,5.536420833213902,0.00174
7,0.9669486932510796,0.0010072382221365413,0.004306133426816357,0.006563941039873396,0.1420149548770963,0.31707631107649903,0.00473248225487312,0.007283272484970253,3,2024-06-27 11:17:01,19.8,5.295659685143158,0.00165
8,0.8544551831124364,0.0008900574824087879,0.0039943192302894235,0.00571378036566455,0.12803992575445652,0.23554587659349505,0.004132383799885878,0.006618621240420996,4,2024-06-27 11:17:21,19.9,5.189316613558964,0.001951
9,0.8940465446279198,0.0009312984839874164,0.004423480091847809,0.006533023054805275,0.15972074412411918,0.30156328320757936,0.0046394351262704515,0.007583677606533854,5,2024-06-27 11:17:41,20.1,5.0591766120239985,0.001755
10,0.9274230679056877,0.0009660656957350914,0.004689882003451931,0.006774707491546166,0.1907182445505922,0.2968708598779427,0.004712235871078455,0.007831732060369027,6,2024-06-27 11:18:01,20.3,5.118649328209085,0.001729
11,0.867506083097751,0.0009036521698934907,0.004165700912300875,0.005553010465029795,0.13228292440858097,0.22658308124583498,0.004119692386287909,0.0063648991962482835,7,2024-06-27 11:18:21,20.4,5.042454516416083,0.00163
12,0.930521734492794,0.0009692934734299938,0.004643371723375863,0.0066080203571351305,0.17963688416601392,0.30399221886525996,0.0046059427100796965,0.007518947155640458,8,2024-06-27 11:18:41,20.6,5.101588521704521,0.001503
13,0.9546372392797523,0.0009944137909164087,0.0047206700413986846,0.006369201136576314,0.15381205859722336,0.29541013646306813,0.0046157833822354395,0.007168751763772889,9,2024-06-27 11:19:01,20.8,5.125100607463919,0.00151
14,0.8856387319180955,0.0009225403457480162,0.0042671731088026795,0.005907447059543607,0.13946638895512786,0.25143040269580635,0.004261532249081464,0.0067602362309208495,10,2024-06-27 11:19:21,20.9,5.154981135534333,0.001785
15,0.8818817201083763,0.0009186267917795587,0.004375207754953667,0.005795798967175244,0.1468905694105215,0.2349433109331079,0.004121812472510665,0.00639426576798082,11,2024-06-27 11:19:41,21.1,5.215193649196468,0.001532
16,0.9615635147420503,0.0010016286611896357,0.0047635119976630735,0.006523110663995594,0.18258280479287664,0.25693362984987345,0.004429890169825404,0.0069641574670396495,12,2024-06-27 11:20:01,21.3,5.2014396618255025,0.001705
17,0.9704839685660122,0.001010920800589596,0.004355205164763249,0.00602701572532233,0.15504831971788016,0.24263607662197914,0.004332787082535342,0.006864666975703027,13,2024-06-27 11:20:21,21.4,5.344153277152569,0.001879
18,0.9851876325737644,0.001026237117264338,0.004448115585590339,0.006790681851015429,0.14780826931903707,0.2831948428261792,0.004882669703899641,0.007854285726223634,14,2024-06-27 11:20:41,21.6,5.633961623452628,0.002
19,0.9539828668705097,0.0009937321529901143,0.004214960424624472,0.006934459128768627,0.14513412316716015,0.2832183491738364,0.004968742967962043,0.008054340624296417,15,2024-06-27 11:21:01,21.8,5.795351872951491,0.001915
20,0.9789451619449571,0.0010197345436926636,0.004381987285726792,0.006329213331243322,0.11676141109329818,0.2392112688502415,0.00478422537700483,0.007331173367077443,16,2024-06-27 11:21:21,21.9,6.292094031872263,0.002118
21,1.0122654138655733,0.0010544431394433056,0.004397893752423923,0.006196177390022196,0.10772536216447043,0.23457412927359675,0.004787227128032587,0.007207409740781514,17,2024-06-27 11:21:41,21.9,6.5237048551313634,0.002183
22,1.0365587471467472,0.0010797486949445283,0.004618963268093263,0.0065566264153438724,0.11781758603401926,0.25564492262390465,0.005012645541645189,0.007518984254918193,18,2024-06-27 11:22:01,22.1,6.3650047532477405,0.002139
23,0.9361123597437596,0.0009751170413997496,0.004102294910958049,0.005498907736260346,0.09011377824234158,0.19008482417299097,0.004320109640295249,0.006203575858841147,19,2024-06-27 11:22:21,22.4,6.197637691300714,0.002194
24,0.9856470151351134,0.001026715640765743,0.004712776621779552,0.006604448742267222,0.13369133349901602,0.2788572127553335,0.004979593084916669,0.007456561221334685,20,2024-06-27 11:22:41,22.8,5.955234770363941,0.001888
25,0.8938593248930666,0.0009311034634302777,0.00435779784755053,0.0059084059789370705,0.12702348806894542,0.24036420163534927,0.004451188919173134,0.00689264962067467,21,2024-06-27 11:23:01,23.1,5.76878829943563,0.001725
26,1.1488038035225039,0.0011966706286692748,0.005593225139898998,0.007922157249962265,0.21336574840409592,0.3677173681610428,0.0055714752751673145,0.008994102531770347,22,2024-06-27 11:23:21,23.6,5.765351506500858,0.002036
27,0.9964277037957371,0.0010379455247872262,0.004827635159640565,0.007307163187300904,0.18536924779934733,0.33858933522775536,0.005053572167578438,0.008394845674719115,23,2024-06-27 11:23:41,24.1,5.624929138528382,0.001855
28,1.0014888554878927,0.0010432175577998882,0.0048615111100438965,0.006922724628067959,0.18382896740061688,0.3079229414285167,0.004887665736960583,0.007872012826674494,24,2024-06-27 11:24:01,24.7,5.5699087857791305,0.00174
29,0.8530469448904183,0.0008885905675941857,0.004241615684822323,0.006687265309989176,0.1741498541533428,0.31089731039097235,0.004505758121608295,0.007633696907871628,25,2024-06-27 11:24:21,25.4,5.558036048820411,0.001438
30,0.8926709810066955,0.0009298656052153079,0.00447536473758241,0.007187532167944275,0.1825876533368116,0.3207891657161413,0.00486044190479002,0.008379867923721545,26,2024-06-27 11:24:41,26.1,5.77995125779267,0.001533
31,0.9146858808737266,0.0009527977925767986,0.004649151350041502,0.0066424821389152585,0.1759291971650506,0.2962004121062782,0.004701593842956797,0.0076026688958585695,27,2024-06-27 11:25:01,26.7,5.444406411391561,0.001842
