offset_s,score,n_pairs,best_feature_HA,best_corr_HA,best_corr_Abs
32065,0.7420386255073346,227,F_top10_area,0.7445000871683787,
32066,0.749242698219146,230,F_top10_area,0.7516361975928222,
32067,0.749828612423951,228,F_top10_area,0.7520494706516435,
32068,0.7566467894489988,231,F_top10_area,0.7588981951668239,
32069,0.7568903325684152,229,F_top10_area,0.7592437528025118,
32070,0.7634154147394516,232,F_top10_area,0.7657903570221705,
32071,0.7647080821276362,230,F_top10_area,0.7670214992559194,
32072,0.7708836955016036,233,F_top10_area,0.7731497153502399,
32073,0.773402670301156,231,F_top10_area,0.7757482360853911,
32074,0.7797420351024502,234,F_top10_area,0.7820514254595504,
32075,0.7784414112077691,232,F_top10_area,0.7809009750333176,
32076,0.7848037610832242,235,F_top10_area,0.787700649233999,
32077,0.7818344190016122,233,F_top10_area,0.7848525593245582,
32078,0.7877883428506905,236,F_top10_area,0.7910982385422388,
32079,0.7796789639059012,234,F_top10_area,0.7832458248286486,
32080,0.786017139084906,237,F_top10_area,0.7900093223482803,
32081,0.7743450929119109,235,F_top10_area,0.7783592979955758,
32082,0.7807958730040736,238,F_top10_area,0.7851171412987356,
32083,0.7644299908001728,236,F_top10_area,0.7689703111781689,
32084,0.7708633415158777,239,F_top10_area,0.7755538227086123,
32085,0.7550830773401643,237,F_top10_area,0.7598058896687416,
32086,0.7617321778326471,240,F_top10_area,0.7667015955625627,
32087,0.7485911675934447,238,F_top10_area,0.7533177046348031,
32088,0.7555001124374585,241,F_top10_area,0.7604969038103868,
32089,0.7446508056010306,239,F_top10_area,0.7495482627934602,
32090,0.7514666434954298,242,F_top10_area,0.7566998199090467,
32091,0.7433301006682437,240,F_top10_area,0.7483664349098078,
32092,0.7504018540354245,243,F_top10_area,0.755791840792153,
32093,0.7443713027716243,241,F_top10_area,0.7496154136813974,
32094,0.7516170823712518,244,F_top10_area,0.75695867966151,
32095,0.7478542637844785,242,F_top10_area,0.7530212604029674,
32096,0.7552087171001306,245,F_top10_area,0.7604562902259013,
32097,0.7511712874232572,243,F_top10_area,0.7561672667416656,
32098,0.7583451243380783,246,F_top10_area,0.7634274109823435,
32099,0.755079448352153,244,F_top10_area,0.7598904692022813,
32100,0.7621304542156758,247,F_top10_area,0.7669275374296859,
32101,0.7591057057865207,245,F_top10_area,0.7636972432298593,
32102,0.7660722686799752,248,F_top10_area,0.7705348058348578,
32103,0.7637072040372204,246,F_top10_area,0.767794105671481,
32104,0.7703014644322275,249,F_top10_area,0.7743624874479433,
32105,0.7674855901857602,247,F_top10_area,0.7712838793186919,
32106,0.7740384318130206,250,F_top10_area,0.7775601953127875,
32107,0.7704279883124976,248,F_top10_area,0.7735637616843103,
32108,0.7768522632856139,251,F_top10_area,0.7800719054218666,
32109,0.7738608577617027,249,F_top10_area,0.7770478519469018,
32110,0.7804245494237374,252,F_top10_area,0.7835633811919475,
32111,0.7772431577273307,250,F_top10_area,0.7803389417301003,
32112,0.7838160015779736,253,F_top10_area,0.7867915428559322,
32113,0.7812566008000845,251,F_top10_area,0.784194621321458,
32114,0.7876527332688623,254,F_top10_area,0.7901761391526018,
32115,0.7849502394332627,252,F_top10_area,0.7875637232846481,
32116,0.7911392121696755,255,F_top10_area,0.7934899044925395,
32117,0.7889184737007926,253,F_top10_area,0.7912327099809818,
32118,0.7948765771241304,256,F_top10_area,0.7971934853004822,
32119,0.7923692042429515,254,F_top10_area,0.7946315790262302,
32120,0.7984704628632654,257,F_top10_area,0.8007746389035585,
