btn_idx,btn_dt,HA_ref,T,RH_ref,dew_ref,HA_pred,HA_pred_std,pred_points,pred_dt_first,pred_dt_last,time_err_center_s,residual
140,2026-05-26 14:33:28,12.16618381384361,29.1,42.1,14.94,10.684452222222223,0.2713645392630447,9,2026-05-26 14:33:28.000,2026-05-26 14:33:28.490,-0.245,1.4817315916213865
141,2026-05-26 14:33:29,12.16618381384361,29.1,42.1,14.94,10.67663375,0.21000435264933598,16,2026-05-26 14:33:28.550,2026-05-26 14:33:29.450,0.0,1.489550063843609
142,2026-05-26 14:33:30,12.137285514998375,29.1,42.0,14.9,10.723881764705883,0.18411290609417147,17,2026-05-26 14:33:29.510,2026-05-26 14:33:30.490,0.0,1.4134037502924919
143,2026-05-26 14:33:31,12.079488917307906,29.1,41.8,14.83,10.784195625,0.22802791890376775,16,2026-05-26 14:33:30.550,2026-05-26 14:33:31.450,0.0,1.295293292307905
144,2026-05-26 14:33:32,11.934997423081736,29.1,41.3,14.64,10.817392352941177,0.14351558950726429,17,2026-05-26 14:33:31.510,2026-05-26 14:33:32.470,0.01,1.1176050701405593
145,2026-05-26 14:33:33,12.252878710379314,29.1,42.4,15.05,10.863832352941175,0.17648029612145832,17,2026-05-26 14:33:32.530,2026-05-26 14:33:33.490,-0.01,1.3890463574381382
146,2026-05-26 14:33:34,12.137285514998375,29.1,42.0,14.9,10.9089825,0.23205549498629252,16,2026-05-26 14:33:33.550,2026-05-26 14:33:34.450,0.0,1.2283030149983745
147,2026-05-26 14:33:35,12.137285514998375,29.1,42.0,14.9,10.85595705882353,0.1734764164362377,17,2026-05-26 14:33:34.510,2026-05-26 14:33:35.470,0.01,1.2813284561748457
148,2026-05-26 14:33:36,12.223980411534075,29.1,42.3,15.01,10.818996875,0.1910136597809607,16,2026-05-26 14:33:35.530,2026-05-26 14:33:36.450,0.01,1.4049835365340755
149,2026-05-26 14:33:37,12.021692319617438,29.1,41.6,14.75,10.868888235294117,0.20818172428899984,17,2026-05-26 14:33:36.510,2026-05-26 14:33:37.470,0.01,1.1528040843233214
150,2026-05-26 14:33:38,11.992794020772203,29.1,41.5,14.72,10.738626470588235,0.1855119090833922,17,2026-05-26 14:33:37.530,2026-05-26 14:33:38.490,-0.01,1.2541675501839684
151,2026-05-26 14:33:39,12.16618381384361,29.1,42.1,14.94,10.876698125,0.2462634700808261,16,2026-05-26 14:33:38.550,2026-05-26 14:33:39.450,0.0,1.2894856888436088
152,2026-05-26 14:33:40,12.137285514998375,29.1,42.0,14.9,10.763238235294118,0.2580337059435088,17,2026-05-26 14:33:39.510,2026-05-26 14:33:40.490,0.0,1.374047279704257
153,2026-05-26 14:33:41,12.252878710379314,29.1,42.4,15.05,10.895563749999999,0.21236604065857673,16,2026-05-26 14:33:40.550,2026-05-26 14:33:41.470,-0.01,1.3573149603793144
154,2026-05-26 14:33:42,12.137285514998375,29.1,42.0,14.9,10.871722352941177,0.22083549065224498,17,2026-05-26 14:33:41.530,2026-05-26 14:33:42.490,-0.01,1.265563162057198
155,2026-05-26 14:33:43,12.079488917307906,29.1,41.8,14.83,10.866085,0.21418284540706506,16,2026-05-26 14:33:42.550,2026-05-26 14:33:43.470,-0.01,1.2134039173079056
156,2026-05-26 14:33:44,12.16618381384361,29.1,42.1,14.94,10.880532352941177,0.17811535207308068,17,2026-05-26 14:33:43.540,2026-05-26 14:33:44.490,-0.015,1.2856514609024323
157,2026-05-26 14:33:45,12.079488917307906,29.1,41.8,14.83,10.797501333333335,0.24722995079383867,15,2026-05-26 14:33:44.550,2026-05-26 14:33:45.500,-0.025,1.281987583974571
158,2026-05-26 14:33:46,12.16618381384361,29.1,42.1,14.94,10.862625333333334,0.21589986772531716,15,2026-05-26 14:33:45.550,2026-05-26 14:33:46.450,0.0,1.3035584805102758
159,2026-05-26 14:33:47,12.16618381384361,29.1,42.1,14.94,10.884008235294118,0.18109082694311493,17,2026-05-26 14:33:46.520,2026-05-26 14:33:47.470,0.005,1.2821755785494915
160,2026-05-26 14:33:48,12.223980411534075,29.1,42.3,15.01,10.712944375,0.19910376406851268,16,2026-05-26 14:33:47.530,2026-05-26 14:33:48.470,0.0,1.511036036534076
161,2026-05-26 14:33:49,12.223980411534075,29.1,42.3,15.01,10.839633125,0.20001580866583957,16,2026-05-26 14:33:48.530,2026-05-26 14:33:49.450,0.01,1.3843472865340747
162,2026-05-26 14:33:50,12.252878710379314,29.1,42.4,15.05,10.744664117647059,0.16096730137899212,17,2026-05-26 14:33:49.510,2026-05-26 14:33:50.470,0.01,1.508214592732255
163,2026-05-26 14:33:51,12.223980411534075,29.1,42.3,15.01,10.728848823529413,0.14114522046824432,17,2026-05-26 14:33:50.530,2026-05-26 14:33:51.490,-0.01,1.4951315880046625
